,m 12.0,m 16.1,m 20.1,m 24.2,m 28.3,m 32.4,m 36.4,m 40.5,m 44.6,m 48.6,m 52.7,m 56.0
2.5,110,65,,,,,,,,,,
3,82.6,65,62.5,,,,,,,,,
3.5,74.6,65,58.8,48.2,,,,,,,,
4,67.3,65,56,48.2,,,,,,,,
4.5,61.2,61,52.7,48.2,36.6,,,,,,,
5,55.9,55.7,50,48.2,35.5,,,,,,,
6,46.9,46.5,46.9,47.2,32.8,27.4,,,,,,
7,39.1,38.8,39.1,37.3,30.8,26.1,20.7,,,,,
8,33.4,33,31.7,30.5,29.2,25.5,20.7,16.9,,,,
9,27.3,26.6,26.4,27,26.5,24.8,20.1,16.9,14.4,,,
10,,21.5,23.8,24.2,22.9,21.5,19,16.7,14.4,11.6,,
11,,20,20.8,21,20.1,18.8,17.6,15.9,13.8,11.6,9.4,
12,,17,17.8,18,17.8,16.6,16.6,15,13.2,11.6,9.4,8.2
14,,,13.5,13.7,13.5,13.1,13.4,12.1,11.8,10.9,9.4,8.2
16,,,10.6,11.3,10.6,10.4,10.8,11,9.6,9.6,9.1,8.2
18,,,,9.2,9.2,9.5,8.7,9,8.9,8.7,8.1,7.8
20,,,,7.6,7.7,7.9,7.6,7.7,7.5,7.3,6.8,6.7
22,,,,6.4,6.5,6.6,6.5,6.5,6.2,6,5.7,5.7
24,,,,,5.5,5.6,5.5,5.5,5.2,5,4.7,4.7
26,,,,,4.7,4.8,4.7,4.6,4.4,4.2,3.9,3.9
28,,,,,,4.1,4,3.9,3.7,3.5,3.2,3.2
30,,,,,,3.6,3.4,3.4,3.1,2.9,2.6,2.6
32,,,,,,,2.9,2.9,2.6,2.4,2.1,2.1
34,,,,,,,2.5,2.4,2.2,2,1.7,1.7
36,,,,,,,,2.1,1.8,1.6,1.3,1.3
38,,,,,,,,1.7,1.5,1.3,1,1
40,,,,,,,,,1.2,1,,
42,,,,,,,,,0.9,,,
