,m 13.1,m 17.4,m 21.8,m 26.2,m 30.6,m 35.0,m 39.4,m 43.8,m 48.2,m 52.6,m 57.0,m 61.0
2.5,145,90.7,79,,,,,,,,,
3,110.6,90.7,79,37,,,,,,,,
3.5,101.5,90.7,79,66,,,,,,,,
4,93.6,90.1,79,66,37,,,,,,,
4.5,85.9,83.7,79,66,48.2,,,,,,,
5,79.3,78.1,75.8,66,48.2,35.2,,,,,,
5.5,73.5,73.2,71,66,48.2,35.2,,,,,,
6,68.3,68.3,66.7,63.5,48.2,38.7,,,,,,
6.5,63.7,64.1,63.6,60.5,48.2,37.5,30.1,,,,,
7,59.6,60,60.2,57.8,48.2,35.9,30.1,,,,,
7.5,56,56.4,56.5,55.3,48.2,35.2,30.1,22.1,,,,
8,52.7,53.1,53.2,52.9,48,35.2,29.5,23.9,,,,
9,46.8,47.3,47.5,47.2,44.8,35.2,27.9,23.9,17.2,,,
10,37.3,41.7,41.9,41.6,41.6,35.2,26.2,22.9,18.9,13.5,,
11,,37.1,37.3,37.5,37.7,33.2,24.4,22,18.9,15,,
12,,33.4,33.5,34.3,33.9,31.5,22.7,21,18.4,15,12,
14,,27.8,27.6,28.4,28,28.4,20.9,19.2,16.9,15,12,10.4
16,,,23.3,24,24.3,24.3,19.3,17.1,15.5,14.1,12,10.4
18,,,21.2,20.2,21.3,20.7,17.8,15.4,14.3,13.1,12,10.4
20,,,,18.1,17.8,17.3,16.5,14,12.9,12.1,11.2,10.2
22,,,,15.4,15.2,14.6,15.2,12.7,11.8,11.2,10.4,9.6
24,,,,,13,13.6,13.1,11.7,10.8,10.4,9.8,9
26,,,,,11.3,11.9,11.4,10.8,10.1,9.6,9.1,8.4
28,,,,,8.2,10.5,9.9,9.6,9.4,8.8,8.5,7.8
30,,,,,,9.3,8.7,9.1,8.6,8.2,8,7.3
32,,,,,,8.3,7.7,8,7.5,7.7,7.4,6.7
34,,,,,,,6.8,7.1,6.9,7,6.6,6.2
36,,,,,,,6.1,6.3,6.5,6.2,5.8,5.8
38,,,,,,,,5.9,5.8,5.5,5.1,5.1
40,,,,,,,,5.5,5.2,4.9,4.5,4.5
42,,,,,,,,,4.6,4.4,3.9,3.9
44,,,,,,,,,4.2,3.9,3.4,3.4
46,,,,,,,,,,3.4,3,3
48,,,,,,,,,,3.1,2.6,2.6
50,,,,,,,,,,2.7,2.2,2.2
52,,,,,,,,,,,1.9,1.9
54,,,,,,,,,,,1.7,1.6
56,,,,,,,,,,,,1.3
